fin_year,month,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Apr,TAMIL NADU,2937,KALLAKURICHI,223653,505.8785524,7,94,9.79389,1816,47,8527,96518,26218,162297,1455,20442,84.61395,582.6717012,13778,16161,295521,512730,0,315728,537442,10343,488.2638612,71321,30,39.31,27.55,100,0
2025-2026,May,TAMIL NADU,2901,KANCHIPURAM,318323,348.5057217,5,147,0.2901288,1132,2,2765,60821,23075,56952,1216,2513,63.07066,275.3254538,11840,12011,128146,156271,0,140906,176986,3897,211.964665,54332,44,18.45,33.56,100,0
2025-2026,May,TAMIL NADU,2903,CUDDALORE,1070851,372.3748037,6,282,0,1208,5,12212,148134,47203,252095,1920,3432,145.95942,697.5731117,22148,24511,418466,675105,0,469203,736784,13420,551.6136917,115652,42,20.69,18.93,100,0
2025-2026,May,TAMIL NADU,2904,VILLUPURAM,1166138,482.3608717,7,102,3.9974,1384,0,9510,57278,19070,176285,1306,6850,167.64232,447.9263801,8104,8990,427865,597746,0,458133,640146,10894,276.2866601,46081,43,16.43,4.87,100,0
2025-2026,May,TAMIL NADU,2909,DHARMAPURI,628316,680.1619136,6,23,3.25305,549,83,9016,25831,2936,37703,1386,8345,73.78478,252.7304539,4136,4243,241776,276407,0,276835,313828,9565,175.6926239,24066,56,22.78,20.06,100,0
2025-2026,May,TAMIL NADU,2913,THANJAVUR,562860,359.0861798,6,48,0,2058,179,7702,22279,4924,116651,58,118,127.23956,207.24037,3711,3961,271599,365643,0,297442,394262,9760,80.00081,18824,37,24.16,5.46,100,0
2025-2026,May,TAMIL NADU,2914,NAGAPATTINAM,231137,711.8144704,7,8,0,2050,17,3041,16077,6689,82623,48,249,46.7242,161.1626124,2196,2565,106447,164320,0,119361,179668,5091,114.4384124,12475,65,9.01,1.21,100,0
2025-2026,May,TAMIL NADU,2917,KARUR,455707,740.6345439,6,137,0,271,2,5615,31114,7000,36326,6,25,41.91972,272.360752,4842,4978,123783,154529,0,142666,177311,5886,230.441032,27130,71,71.63,71.06,100,0
2025-2026,May,TAMIL NADU,2921,THENI,249225,796.2900455,5,45,0,556,9,2453,19350,4411,24755,134,169,38.99556,193.0776838,3261,3362,83479,101530,0,114324,135477,3009,154.0821238,16481,36,65.56,69.98,100,0
2025-2026,May,TAMIL NADU,2923,RAMANATHAPURAM,915564,330.3420953,6,779,0,983,85,9163,61170,11929,62572,13,23,96.22018,298.2904397,10003,10421,197585,243610,0,222838,271202,10146,202.0702597,51671,58,13.76,17.28,100,0
2025-2026,May,TAMIL NADU,2928,KANNIYAKUMARI,112139,312.7684774,10,7,0,201,18,2056,11244,709,4098,51,225,40.73306,75.9007476,1062,1159,38165,47258,0,76962,94584,2257,35.1676876,8884,56,28.29,28.54,100,0
2025-2026,May,TAMIL NADU,2932,TIRUPPUR,454138,334.0151752,6,87,0,891,1,4627,78916,23313,62060,37,203,59.31884,322.9102557,12738,12975,133646,158214,0,178774,229996,5518,263.5914157,67830,50,41.2,66.9,100,0
2025-2026,May,TAMIL NADU,2935,TIRUPATHUR,402889,558.258825,6,29,2.63,1922,21,5635,20647,2860,25382,625,5017,40.7813,158.6749996,3251,3387,129401,149093,0,141624,163827,7557,115.2636996,18156,64,10.49,9.1,100,0
2025-2026,May,TAMIL NADU,2936,TENKASI,447217,443.4754167,8,41,0,392,8,4548,30354,6334,62110,0,71,57.02402,191.636548,3672,3940,138390,188913,0,164260,218563,4940,134.612528,24446,54,14.97,11.71,100,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,600.4525082,5,50,0,703,33,7697,18376,5125,37686,1544,4594,48.42381,158.7629629,3617,3733,132303,154676,0,145909,184602,8400,110.3391529,15559,67,22.62,22.3,100,0
2025-2026,Apr,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,766.0880027,6,36,0,2396,80,5057,17564,3519,82821,136,5094,79.10731,213.6630068,2759,2903,301947,373796,0,321428,399686,7453,134.5556968,14777,48,11.1,9.13,100,0
2025-2026,Apr,TAMIL NADU,2918,PERAMBALUR,130491,343.3369216,5,58,3.5266271,270,7,1954,30337,9576,55017,26,493,30.78198,138.466729,5456,5838,122579,174510,0,142853,197710,2224,104.1581219,25655,48,20.92,16.08,100,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,329.7743001,5,737,0,792,87,9326,54213,10881,62570,13,23,96.22018,275.0007213,9297,9693,197577,243599,0,222793,271153,10118,178.7805413,45982,59,14.4,18.06,100,0
2025-2026,Apr,TAMIL NADU,2931,ARIYALUR,194848,1450.84414,6,19,0,1740,34,2962,14468,3840,56470,417,3022,41.94487,251.8530002,2089,2353,179790,254627,0,192040,268239,4702,209.9081302,11185,51,4.99,2.2,100,0
2025-2026,Apr,TAMIL NADU,2935,TIRUPATHUR,202917,605.3114866,5,22,2.63,1538,23,5994,15687,2262,25376,417,5015,40.7813,138.3665129,2734,2857,129395,149071,0,141602,163777,7532,94.9552129,13720,64,10.08,8.34,100,0
2025-2026,Apr,TAMIL NADU,2938,MAYILADUTHURAI,134945,335.0487654,6,31,0,282,10,5436,43067,15933,106391,19,275,44.8216,189.1170518,7163,8192,153075,233191,0,161654,242850,5718,144.2954518,34313,46,38.14,33.23,100,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,482.3641419,5,57,0,753,28,7656,24851,6916,37781,1632,4616,48.42381,168.2961229,4354,4496,132462,155028,0,146310,185330,8409,119.8723129,21278,67,21.45,21.51,100,0
2025-2026,Apr,TAMIL NADU,2907,SALEM,324582,839.3822104,5,46,58.4620205,1245,52,12351,18354,3075,80931,854,30092,99.7897,312.3119314,3524,3677,341015,422367,0,437297,530272,13596,154.0602109,16077,57,7.94,6.61,100,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,269.9172019,5,141,0.04995,663,8,5012,55738,12796,63367,4558,20752,89.55051,240.04691,9302,9468,181212,226318,0,220234,276230,5675,150.44645,49918,44,27.63,39.08,100,0
2025-2026,Apr,TAMIL NADU,2921,THENI,129802,816.3703798,5,41,0,550,10,2443,18088,4071,24754,134,169,38.99556,186.6606343,3093,3185,83479,101529,0,114324,135476,2993,147.6650743,15423,36,67.21,71.94,100,0
2025-2026,Apr,TAMIL NADU,2922,DINDIGUL,389734,832.2672734,5,151,0,2085,20,13530,45159,9880,82660,26,358,68.88469,444.728268,8355,8694,281056,340268,0,313738,375281,15615,375.843578,38636,78,45.31,40.95,100,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,363.72186,5,167,0,463,172,2421,37446,11533,75602,12,118,79.45075,215.6500377,7141,7298,215432,264237,0,247010,298648,2884,136.1992877,31952,15,5.6,15.99,100,0
2025-2026,Apr,TAMIL NADU,2928,KANNIYAKUMARI,53165,312.3750459,10,7,0,197,18,2060,11118,704,4096,51,225,40.73306,75.4629176,1053,1150,38162,47243,0,76926,94519,2257,34.7298576,8773,56,31.66,31.99,100,0
2025-2026,Apr,TAMIL NADU,2934,RANIPET,282759,375.9929349,6,51,0,984,28,4315,31831,8624,54487,949,2256,60.70446,180.3867711,4873,5040,157659,218424,0,182647,247723,5299,119.6823111,28287,50,7.84,8.28,100,0
2025-2026,Apr,TAMIL NADU,2936,TENKASI,254889,429.1837115,8,41,0,373,10,4574,29050,6168,62110,0,71,57.02402,181.7018882,3388,3626,138389,188910,0,164252,218548,4947,124.6778682,23379,54,14.68,11.17,100,0
2025-2026,Apr,TAMIL NADU,2904,VILLUPURAM,565553,506.6716288,6,98,3.9974,1341,31,9520,48519,15769,176310,1227,6850,167.49232,417.3217276,7044,7694,427886,597802,0,458164,640220,10861,245.8320076,39719,43,16.13,4.73,100,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,274.9844436,5,121,0.04995,653,8,5022,47633,10958,63364,4388,20752,89.55051,220.5838,8220,8367,181206,226310,0,220232,276228,5675,130.98334,42735,44,24.04,36.69,100,0
2025-2026,Apr,TAMIL NADU,2910,ERODE,195081,418.1418137,6,142,0,1265,4,5605,37410,7800,45881,423,2952,64.38528,220.8121325,5661,5766,140009,163007,0,191749,224325,6870,156.4268525,31725,62,39.96,43.99,100,0
2025-2026,Apr,TAMIL NADU,2911,COIMBATORE,75199,773.1933035,6,3,24.9491597,748,15,4810,7377,2274,28774,108,1732,65.57259,147.5602197,1114,1147,74404,83132,0,109517,122377,5558,57.03847,6454,60,26.61,23.31,100,0
2025-2026,Apr,TAMIL NADU,2912,THE NILGIRIS,69877,395.1689031,6,10,0,401,2,1978,8123,2926,11440,765,3474,26.27005,58.36962,1213,1291,30409,38758,0,55508,67833,2379,32.09957,6246,84,18.73,19.09,100,0
2025-2026,Apr,TAMIL NADU,2913,THANJAVUR,266872,358.6591244,5,44,0,1920,191,7818,21037,4673,116649,58,118,127.23956,202.69068,3601,3828,271598,365641,0,297437,394257,9738,75.45112,17909,37,27.46,6.04,100,0
2025-2026,Apr,TAMIL NADU,2920,MADURAI,500069,1194.340975,5,101,0,1501,77,11707,29691,5687,66764,66,659,107.43493,462.0467088,5238,5401,271760,319621,0,299402,360088,13208,354.6117788,26497,60,11.93,6.89,100,0
2025-2026,May,TAMIL NADU,2912,THE NILGIRIS,136005,374.7061778,7,13,0,463,1,1930,10554,3544,11447,1066,3479,28.13095,67.67744,1443,1534,30416,38774,0,55556,67892,2393,39.54649,8058,84,17.37,17.7,100,0
2025-2026,May,TAMIL NADU,2921,THENI,249225,796.2900455,5,45,0,556,9,2452,19350,4411,24755,134,169,38.99556,193.0776838,3261,3362,83479,101530,0,114324,135477,3008,154.0821238,16481,36,65.56,69.98,100,0
2025-2026,May,TAMIL NADU,2922,DINDIGUL,813349,825.7294709,5,154,0,2135,19,13499,47345,10050,82660,26,358,68.88469,459.826308,8756,9107,281063,340280,0,313791,375340,15634,390.941618,40481,78,42.89,38.54,100,0
2025-2026,May,TAMIL NADU,2937,KALLAKURICHI,511379,503.9596541,7,95,9.79389,1886,45,8492,98633,26645,162299,1457,20444,84.61395,591.4783656,13977,16402,295522,512737,0,315735,537457,10378,497.0705256,72818,30,37.34,26.32,100,0
2025-2026,Apr,TAMIL NADU,2920,MADURAI,500069,1396.902451,5,79,0,1386,77,11739,25214,4801,66763,66,659,107.43493,459.649914,4706,4839,271759,319619,0,299401,360086,13125,352.214984,22577,60,11.32,6.48,100,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,338.7108883,5,635,0,768,91,9293,46594,8893,62569,8,23,96.22018,254.0391313,8325,8691,197575,243597,0,222789,271149,10061,157.8189513,39315,59,15.16,17.8,100,0
2025-2026,Apr,TAMIL NADU,2928,KANNIYAKUMARI,53165,305.6116162,9,7,0,180,19,2077,9139,629,4096,51,225,40.73306,68.6629056,974,1064,38162,47240,0,76904,94481,2257,27.9298456,7178,56,28.74,36.57,100,0
2025-2026,Apr,TAMIL NADU,2933,CHENGALPATTU,223676,718.3852674,9,70,0,1453,8,6091,40574,19772,103548,887,4237,71.46863,362.9462684,4371,4611,194776,238768,0,219051,278500,7544,291.4776384,33925,51,12.35,11.45,100,0
2025-2026,Apr,TAMIL NADU,2934,RANIPET,282759,477.3891359,5,39,0,863,37,4401,22486,6382,54479,699,2255,60.70446,168.0501811,3789,3920,157646,218391,0,182573,247606,5264,107.3457211,20059,50,7.89,7.02,100,0
2025-2026,Apr,TAMIL NADU,2937,KALLAKURICHI,223653,660.2509598,6,48,9.79389,1651,56,8622,55285,15417,162298,1092,20443,84.61395,459.4275831,8672,10242,295517,512793,0,315695,537458,10273,365.0197431,40785,30,30.06,20.07,100,0
2025-2026,May,TAMIL NADU,2904,VILLUPURAM,1166138,421.2763963,8,134,3.9974,1598,0,9385,87830,28968,176303,1898,6856,170.19118,544.1956389,10385,11516,427886,597801,0,458217,640289,10983,370.0070589,70560,43,14.62,5.13,100,0
2025-2026,May,TAMIL NADU,2908,NAMAKKAL,405009,254.2478009,6,270,0.04995,838,6,5112,107664,25705,63380,10028,20755,90.03715,363.8204524,15726,16072,181234,226362,0,220292,276312,5950,273.7333524,95816,42,26.68,38.83,100,0
2025-2026,May,TAMIL NADU,2909,DHARMAPURI,628316,545.7842068,7,28,3.25305,717,38,8978,41069,5287,37704,1992,8371,76.18605,303.5872159,5723,5869,241806,276438,0,276843,313836,9695,224.1481159,38103,56,24.88,26.39,100,0
2025-2026,May,TAMIL NADU,2912,THE NILGIRIS,136005,360.7951082,9,15,0,559,1,1845,16272,5402,11450,2204,3479,28.13095,86.83953,1674,1796,30421,38785,0,55633,67990,2404,58.70858,12237,84,16.62,12.86,100,0
2025-2026,May,TAMIL NADU,2923,RAMANATHAPURAM,915564,291.1732018,6,1010,0,1114,67,9237,104491,21549,62577,19,23,98.19498,402.4447703,15134,15704,197629,243664,0,223047,271456,10351,304.2497903,89175,59,17.55,22.8,100,0
2025-2026,May,TAMIL NADU,2938,MAYILADUTHURAI,265639,332.9685902,6,61,0,423,0,5356,66348,26153,106401,19,275,45.44548,266.3634802,10202,11799,153079,233218,0,161684,242905,5779,220.9180002,52003,46,23.61,21.82,100,0
2025-2026,May,TAMIL NADU,2904,VILLUPURAM,1166138,433.8556027,8,125,3.9974,1568,0,9368,80228,26435,176267,1801,6856,167.64232,519.7133929,9939,11015,427855,597709,0,458125,640106,10936,348.0736729,64468,43,14.8,5.15,100,0
2025-2026,May,TAMIL NADU,2925,SIVAGANGAI,699410,701.6977412,6,18,0,996,95,9074,17390,5110,45558,0,19,136.12613,258.1513672,2806,2866,185972,220769,0,201975,238295,10070,122.0252372,16026,41,20.32,19.75,100,0
2025-2026,May,TAMIL NADU,2904,VILLUPURAM,1166138,431.5338623,7,118,3.9974,1535,0,9393,75535,25094,176274,1736,6856,167.64232,497.5988229,9483,10507,427865,597721,0,458137,640118,10928,325.9591029,60598,43,14.99,5.02,100,0
2025-2026,May,TAMIL NADU,2914,NAGAPATTINAM,231137,687.7375758,7,11,0,2102,15,3032,17185,7170,82633,48,249,46.7242,164.9119024,2420,2819,106448,164333,0,119399,179721,5134,118.1877024,13322,65,9.11,2.16,100,0
2025-2026,May,TAMIL NADU,2918,PERAMBALUR,303983,343.3453669,6,105,3.5266271,295,1,1987,61439,19483,55022,143,493,30.78198,245.2565671,9286,10090,122598,174536,0,142859,197717,2282,210.94796,51197,48,28.3,25.02,100,0
2025-2026,May,TAMIL NADU,2919,PUDUKKOTTAI,534209,329.2635361,5,167,0,1313,60,7614,119574,20089,82111,6,3,120.07902,513.7926007,22310,23014,293421,424132,0,332466,474704,8927,393.7135807,107500,36,13.35,25.45,100,0
2025-2026,May,TAMIL NADU,2927,THOOTHUKKUDI,588756,352.8978259,6,401,0,576,16,5312,124983,40862,58614,55,155,87.40211,528.4643997,20646,21170,149966,177399,0,171076,211997,5888,441.0622897,110623,19,30.72,29.79,100,0
2025-2026,May,TAMIL NADU,2931,ARIYALUR,401779,999.4873936,7,27,0,1819,30,2930,22606,5641,56469,527,3022,41.94487,267.8889902,2920,3307,179790,254629,0,192042,268243,4749,225.9441202,17605,51,9.64,6.72,100,0
2025-2026,May,TAMIL NADU,2901,KANCHIPURAM,318323,329.1233012,5,178,0.2901288,1259,0,2665,89914,34353,56954,1803,2515,65.11772,361.3357738,15357,15567,128157,156279,0,140953,177035,3924,295.927925,80373,44,22.4,36.82,100,0
2025-2026,May,TAMIL NADU,2905,VELLORE,366795,484.3797369,6,72,0,984,8,7520,44244,12285,37784,3389,4617,49.69834,264.0073108,6585,6799,132466,155034,0,146322,185344,8504,214.3089708,37782,67,19.05,19.91,100,0
2025-2026,May,TAMIL NADU,2908,NAMAKKAL,405009,255.647267,6,231,0.04995,796,6,5153,94972,22516,63378,7691,20754,90.03715,332.8804224,14126,14432,181229,226356,0,220291,276310,5949,242.7933224,84689,42,25.79,37.03,100,0
2025-2026,May,TAMIL NADU,2914,NAGAPATTINAM,231137,598.4300714,7,15,0,2209,10,2981,22827,9467,82637,48,249,48.20696,184.8105924,3018,3524,106453,164349,0,119416,179751,5190,136.6036324,17701,66,11.26,2.28,100,0
2025-2026,May,TAMIL NADU,2915,TIRUVARUR,306441,631.8491499,8,39,2.3745722,3968,31,4852,28948,10145,144945,0,39,91.8463,277.1285641,3327,4031,178868,270967,0,197052,292722,8820,182.9076919,20491,41,24.08,3.76,100,0
2025-2026,May,TAMIL NADU,2920,MADURAI,907203,857.4327311,6,129,0,1638,53,11636,51134,9815,66765,101,659,107.43493,545.8745827,7451,7670,271776,319642,0,299420,360111,13274,438.4396527,45705,60,11.76,6.65,100,0
2025-2026,May,TAMIL NADU,2924,VIRUDHUNAGAR,883393,331.5081468,6,229,0,524,139,2462,61094,19875,75609,15,118,79.45075,281.9823372,9595,9887,215455,264288,0,247097,298780,2986,202.5315872,51974,18,11.37,19.17,100,0
2025-2026,May,TAMIL NADU,2932,TIRUPPUR,454138,308.8976963,7,110,0,965,0,4864,122304,36984,62104,87,203,59.81218,437.6064185,16616,16953,133753,158340,0,178826,230065,5829,377.7942385,105192,52,38.26,63.78,100,0
2025-2026,May,TAMIL NADU,2937,KALLAKURICHI,511379,430.6367743,8,176,9.79389,2038,12,8645,156798,43899,162304,2626,20446,84.61395,769.6376894,19486,22785,295545,512755,0,315793,537517,10683,675.2298494,116136,31,29.57,21.17,100.01,0
2025-2026,May,TAMIL NADU,2901,KANCHIPURAM,318323,326.934563,5,171,0.2901288,1169,0,2751,84440,32075,56956,1565,2515,63.07066,339.4243338,14654,14854,128158,156285,0,140919,177004,3920,276.063545,75476,44,22.96,38.15,100,0
2025-2026,May,TAMIL NADU,2907,SALEM,585616,466.4007133,6,71,58.4620205,1538,37,12075,43867,7731,80940,2485,30096,99.7897,362.8477214,6788,7045,341041,422410,0,437317,530307,13613,204.5960009,38884,57,10.87,11.98,100,0
2025-2026,May,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,450.6059152,6,128,0,2508,19,5132,53266,11004,82826,685,5095,79.10731,319.1270568,8362,8621,301963,373813,0,321444,399710,7640,240.0197468,45744,48,19.67,19.02,100,0
2025-2026,May,TAMIL NADU,2923,RAMANATHAPURAM,915564,305.9515317,6,896,0,1006,79,9171,82666,17055,62575,19,23,96.29518,349.2130732,12167,12675,197596,243623,0,222901,271290,10177,252.9178932,70057,58,15.57,20.84,100,0
2025-2026,May,TAMIL NADU,2932,TIRUPPUR,454138,312.1769384,6,107,0,933,0,4613,106745,32497,62069,67,203,59.31884,392.5521129,15433,15732,133665,158236,0,178783,230007,5546,333.2332729,92059,50,40.6,66.49,100,0
2025-2026,May,TAMIL NADU,2935,TIRUPATHUR,402889,508.191041,6,32,2.63,2006,16,5575,24900,4091,25383,774,5017,40.7813,169.9508692,3560,3716,129402,149094,0,141624,163827,7581,126.5395692,21682,64,9.74,8.54,100,0
2025-2026,May,TAMIL NADU,2901,KANCHIPURAM,318323,325.3331233,5,166,0.2901288,1153,1,2768,80155,30502,56955,1509,2514,63.07066,324.1315538,14150,14345,128152,156278,0,140915,176999,3921,260.770765,71716,44,22.54,37.4,100,0
2025-2026,May,TAMIL NADU,2905,VELLORE,366795,524.5472759,5,64,0,862,12,7610,29059,8240,37783,2310,4620,48.42381,200.8520029,5189,5366,132468,155036,0,146314,185336,8472,152.4281929,24805,67,19.91,20.29,100,0
2025-2026,May,TAMIL NADU,2915,TIRUVARUR,306441,721.0335171,7,30,2.3745722,3865,69,4932,20406,7207,144943,0,39,91.8463,241.3549717,2622,3220,178858,270952,0,197048,292713,8797,147.1340995,14408,42,24.66,3.83,100,0
2025-2026,May,TAMIL NADU,2903,CUDDALORE,1070851,341.2665852,7,410,0,1487,2,12059,229791,76221,252106,2652,3433,145.95942,930.1593187,31087,34205,418489,675147,0,469215,736813,13546,784.1998987,181970,42,22.07,21.77,100,0
2025-2026,May,TAMIL NADU,2905,VELLORE,366795,479.4623386,6,72,0,939,9,7544,43265,12285,37784,2488,4617,49.69834,257.1377208,6544,6751,132465,155033,0,146322,185344,8483,207.4393808,37290,67,20.64,21.59,100,0
2025-2026,May,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,448.3127358,7,242,0,2606,58,9180,100760,26492,149610,3020,27602,201.97308,653.6929926,13056,14043,512023,655462,0,540389,686060,11786,451.7199126,82437,41,11.58,7.14,100,0
2025-2026,May,TAMIL NADU,2908,NAMAKKAL,405009,270.0636036,6,222,0.04995,789,6,5134,88678,21259,63375,7067,20754,90.03715,329.5741024,13254,13536,181228,226349,0,220276,276289,5923,239.4870024,78989,42,25.12,35.97,100,0
2025-2026,May,TAMIL NADU,2920,MADURAI,907203,877.1305722,6,129,0,1632,53,11636,49385,9245,66765,101,659,107.43493,540.6058631,7185,7398,271773,319638,0,299420,360110,13268,433.1709331,44088,60,11.55,6.43,100,0
2025-2026,May,TAMIL NADU,2923,RAMANATHAPURAM,915564,312.1909608,6,916,0,1088,70,9225,89922,18239,62577,19,23,96.29518,377.0235358,13171,13711,197626,243659,0,223021,271426,10313,280.7283558,76317,59,15.01,19.95,100,0
2025-2026,May,TAMIL NADU,2924,VIRUDHUNAGAR,883393,343.9517361,6,220,0,522,140,2397,55579,17421,75605,12,118,79.45075,270.6156854,9118,9397,215449,264277,0,247087,298755,2919,191.1649354,47289,16,12.28,19.12,100,0
2025-2026,May,TAMIL NADU,2928,KANNIYAKUMARI,112139,309.2120794,9,19,0,227,6,2038,19703,1436,4100,60,225,40.73306,101.657116,2102,2214,38174,47288,0,77027,94710,2265,60.924056,15874,56,31.78,32.11,100,0
2025-2026,May,TAMIL NADU,2931,ARIYALUR,401779,1014.620335,7,27,0,1826,28,2926,23547,5771,56469,576,3022,41.94487,280.8575202,3037,3453,179790,254629,0,192042,268243,4752,238.9126502,18290,51,9.62,5.79,100,0
2025-2026,May,TAMIL NADU,2935,TIRUPATHUR,402889,578.1536495,7,34,2.63,2452,4,5141,28067,4640,25384,936,5017,41.46439,206.3647748,3806,3969,129402,149095,0,141628,163834,7593,162.2703848,24472,64,13.22,10.32,100,0
2025-2026,May,TAMIL NADU,2936,TENKASI,447217,397.9614489,9,61,0,483,2,4503,47319,9803,62119,0,71,57.02402,245.335398,4811,5184,138413,188955,0,164296,218630,4986,188.311378,37977,54,13.32,12.39,100,0
2025-2026,May,TAMIL NADU,2905,VELLORE,366795,514.5461604,7,76,0,1026,5,7509,56061,15165,37785,3458,4618,49.69834,338.158063,7589,7839,132469,155041,0,146349,185379,8535,288.459723,48262,67,18.41,19.26,100,0
2025-2026,May,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,296.9079168,6,387,0,2673,4,5321,146650,30039,82838,1642,5095,84.71954,520.135,23199,23757,301986,373861,0,321535,399833,7994,435.41546,127338,47,24.07,30.49,100,0
2025-2026,May,TAMIL NADU,2917,KARUR,455707,562.5223934,6,200,0,302,2,5588,55286,12038,36326,12,25,43.13854,354.1346704,8148,8364,123785,154534,0,142674,177320,5890,310.9961304,48389,71,74.32,74.95,100,0
2025-2026,May,TAMIL NADU,2927,THOOTHUKKUDI,588756,305.2737273,6,547,0,655,14,5280,206238,69014,58686,98,155,87.40211,716.9925397,29957,30825,150061,177601,0,171376,212504,5935,629.5904297,182013,20,33.48,32.24,100,0
2025-2026,May,TAMIL NADU,2936,TENKASI,447217,364.2505625,11,77,0,525,0,4535,67290,14862,62132,0,71,57.27983,302.3840335,6079,6530,138460,189043,0,164377,218779,5060,245.1042035,53379,55,12.4,13.38,100,0
2025-2026,May,TAMIL NADU,2908,NAMAKKAL,405009,258.5773985,6,305,0.04995,858,5,5092,119114,29051,63385,10041,20755,90.03715,398.0889825,17357,17732,181243,226373,0,220304,276325,5950,308.0018825,106075,42,26.5,38.96,100,0
2025-2026,May,TAMIL NADU,2910,ERODE,360574,401.1430067,8,171,0,1438,1,5584,58964,12692,45890,622,2952,64.38528,300.9152425,7162,7302,140053,163053,0,191937,224528,7022,236.5299625,50027,63,38.51,38.13,100,0
2025-2026,May,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,385.5769139,6,285,0,2648,5,5154,101126,20767,82834,1425,5095,82.93574,472.85425,16354,16789,301980,373839,0,321486,399761,7802,389.91851,87337,47,21.37,24.44,100,0
2025-2026,May,TAMIL NADU,2922,DINDIGUL,813349,586.9171352,6,200,0,2496,11,13184,89010,20235,82679,107,358,68.88469,591.299632,13410,13912,281095,340363,0,313990,375615,15680,522.414942,76397,78,38.18,36.42,100,0
2025-2026,May,TAMIL NADU,2923,RAMANATHAPURAM,915564,301.9110653,7,1200,0,1126,52,9270,117701,24173,62577,24,23,98.19498,453.547323,16767,17429,197641,243679,0,223086,271501,10396,355.352343,100016,59,18.76,24.22,100,0
2025-2026,May,TAMIL NADU,2930,KRISHNAGIRI,796257,307.9645962,8,117,7.4591642,780,18,8507,95799,11205,38642,490,2775,142.23463,444.7207977,11602,11841,254392,285199,0,295428,333075,9287,295.0270035,87201,69,9.32,10.93,100,0
2025-2026,May,TAMIL NADU,2931,ARIYALUR,401779,899.5628341,8,28,0,1853,22,2905,28122,6440,56471,717,3022,44.05282,297.0278802,3421,3907,179792,254635,0,192043,268248,4758,252.9750602,21669,51,9.15,5.74,100,0
2025-2026,May,TAMIL NADU,2938,MAYILADUTHURAI,265639,344.4234651,6,63,0,432,0,5346,68658,27425,106401,19,275,45.44548,281.9197427,10477,12126,153079,233221,0,161684,242908,5778,236.4742627,53862,46,24.01,22.2,100,0
2025-2026,May,TAMIL NADU,2901,KANCHIPURAM,318323,321.9123168,6,201,0.2901288,1268,0,2691,110905,41639,56959,2262,2519,65.11772,422.4247038,18059,18295,128165,156297,0,140990,177084,3959,357.016855,98957,45,24.76,39.3,100,0
2025-2026,May,TAMIL NADU,2903,CUDDALORE,1070851,328.7626929,7,471,0,1610,2,12040,254793,84328,252114,2717,3440,145.95942,983.6237482,33950,37433,418500,675181,0,469233,736853,13650,837.6643282,201862,42,22.47,22.39,100,0
2025-2026,May,TAMIL NADU,2905,VELLORE,366795,525.260013,6,72,0,986,8,7518,45260,12594,37784,3408,4620,49.69834,287.4310219,6725,6946,132469,155039,0,146334,185359,8504,237.7326819,38698,67,18.48,19.31,100,0
2025-2026,May,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,431.3187716,7,272,0,2661,48,9233,114117,30238,149617,3586,27602,207.45292,699.6609626,14728,15783,512034,655487,0,540412,686096,11894,492.2080426,93717,41,12.35,7.7,100,0
2025-2026,May,TAMIL NADU,2908,NAMAKKAL,405009,254.1265845,6,292,0.04995,841,6,5109,115095,28054,63383,10028,20755,90.03715,382.5740924,16865,17230,181237,226366,0,220293,276313,5950,292.4869924,102468,42,26.55,39.02,100,0
